system,axis,R1,R2,R3,majority,all_agree
FIPA ACL,a1,0.5,0.5,0.5,0.5,yes
FIPA ACL,a2,0.0,0.0,0.0,0.0,yes
FIPA ACL,a3,0.5,0.5,0.5,0.5,yes
FIPA ACL,a4,0.0,0.0,0.0,0.0,yes
OWL-S,a1,0.0,0.0,0.0,0.0,yes
OWL-S,a2,UNSPECIFIED,0.5,0.5,0.5,no
OWL-S,a3,0.0,0.0,0.0,0.0,yes
OWL-S,a4,0.0,0.0,0.0,0.0,yes
LangChain,a1,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,yes
LangChain,a2,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,yes
LangChain,a3,UNSPECIFIED,1.0,1.0,1.0,no
LangChain,a4,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,yes
MCP,a1,1.0,1.0,1.0,1.0,yes
MCP,a2,1.0,1.0,1.0,1.0,yes
MCP,a3,1.0,1.0,1.0,1.0,yes
MCP,a4,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,yes
A2A,a1,1.0,1.0,1.0,1.0,yes
A2A,a2,1.0,1.0,1.0,1.0,yes
A2A,a3,1.0,1.0,1.0,1.0,yes
A2A,a4,0.5,0.5,0.5,0.5,yes
